文件名,原规则,新判定,新证据
167932135317_167932135317_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['duallywheels.com']; 疑似联系方式(弱信号): ['888-505-0987']
167932380812_167932380812_0.webp,5-促销/免费配送信息,KEEP,
167932494079_167932494079_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['rvwheel.com']
167932605008_167932605008_0.webp,5-促销/免费配送信息,KEEP,
167933243621_167933243621_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243655_167933243655_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243657_167933243657_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243661_167933243661_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243689_167933243689_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243705_167933243705_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243721_167933243721_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243745_167933243745_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243750_167933243750_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243751_167933243751_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243765_167933243765_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243791_167933243791_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243796_167933243796_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243802_167933243802_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243809_167933243809_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243833_167933243833_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243847_167933243847_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243851_167933243851_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243899_167933243899_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933243900_167933243900_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['tirechain.com']
167933767591_167933767591_2.webp,1-包含中文内容,KEEP,
167933767591_167933767591_3.webp,1-包含中文内容,KEEP,
167934798609_167934798609_2.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): https://linktr.ee/mastertrack_tires
167934798609_167934798609_4.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.mastertracktires.com', '.mastertracktires.com']"
167934894913_167934894913_2.webp,1-包含中文内容,KEEP,
167934894913_167934894913_3.webp,1-包含中文内容,KEEP,
167934914422_167934914422_2.webp,1-包含中文内容,KEEP,
167934914422_167934914422_3.webp,1-包含中文内容,KEEP,
167934987931_167934987931_2.webp,1-包含中文内容,KEEP,
167934987931_167934987931_3.webp,1-包含中文内容,KEEP,
167936469518_167936469518_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13839880083']
167936900046_167936900046_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['gmsports.com']
167936900046_167936900046_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['gmsports.com']
167936900046_167936900046_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['gmsports.com']
167936900046_167936900046_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['gmsports.com']
167936900046_167936900046_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['gmsports.com']
167936900046_167936900046_5.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['gmsports.com']
167937036438_167937036438_1.webp,4-无效图片(空白/纯色),KEEP,
167937037578_167937037578_1.webp,4-无效图片(空白/纯色),KEEP,
167937063678_167937063678_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['http://p.mb-qr.com', '.mb-qr.com']"
167937552088_167937552088_2.webp,1-包含中文内容,KEEP,
167937552088_167937552088_3.webp,1-包含中文内容,KEEP,
167939140333_167939140333_0.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): CN-755/020 JS&LSD.FCW.C401
167939456121_167939456121_5.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): NY220
167939468665_167939468665_5.webp,3-联系方式(二维码),REVIEW,检测到二维码(按用户口径待确认): NY285
167939782638_167939782638_2.webp,1-包含中文内容,KEEP,
167941033506_167941033506_0.webp,3-包含联系方式,KEEP,
167943094373_167943094373_4.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.jasperengines.com', '.jasperengines.com']; 疑似联系方式(弱信号): ['1"
167943164694_167943164694_1.webp,1-包含中文内容,KEEP,
167944893836_167944893836_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['wheelstoyou.com']
167944893836_167944893836_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['u.com']
167944893836_167944893836_5.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['wheelstoyou.com']
1679461984_1679461984_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.technoflex.ca']
1679461984_1679461984_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.technoflex.ca']
167946908002_167946908002_0.webp,5-促销/免费配送信息,KEEP,
167947040320_167947040320_0.webp,1-包含中文内容,KEEP,
167947040320_167947040320_2.webp,1-包含中文内容,KEEP,
167948507175_167948507175_1.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['qq']
167951900638_167951900638_0.webp,1-包含中文内容,KEEP,
167951900638_167951900638_4.webp,1-包含中文内容,KEEP,
167953477414_167953477414_1.webp,1-包含中文内容,KEEP,
167953593160_167953593160_3.webp,1-包含中文内容,KEEP,
167953593160_167953593160_4.webp,1-包含中文内容,KEEP,
167955823936_167955823936_0.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['19092020055']
167956691049_167956691049_4.webp,1-包含中文内容,KEEP,
167957676254_167957676254_5.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['http://p.mb-qr.com', '.mb-qr.com']"
167958252998_167958252998_2.webp,1-包含中文内容,KEEP,
167958252998_167958252998_3.webp,1-包含中文内容,KEEP,
167958252998_167958252998_4.webp,1-包含中文内容,KEEP,
167958252998_167958252998_5.webp,1-包含中文内容,KEEP,
167958470510_167958470510_2.webp,1-包含中文内容,KEEP,
167958470510_167958470510_4.webp,1-包含中文内容,KEEP,
167958470510_167958470510_5.webp,1-包含中文内容,KEEP,
167958591469_167958591469_4.webp,3-包含联系方式,KEEP,
167959624099_167959624099_0.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['curtcurtmfg.com']
167960183003_167960183003_0.webp,1-包含中文内容,KEEP,
167960183003_167960183003_1.webp,1-包含中文内容,KEEP,
167960183003_167960183003_4.webp,1-包含中文内容,KEEP,
167963748371_167963748371_0.webp,1-包含中文内容,KEEP,
167973412039_167973412039_1.webp,1-包含中文内容,KEEP,
167973421280_167973421280_1.webp,1-包含中文内容,KEEP,
167973421280_167973421280_2.webp,1-包含中文内容,KEEP,
167973421280_167973421280_3.webp,1-包含中文内容,KEEP,
167973421280_167973421280_4.webp,1-包含中文内容,KEEP,
1680143069_1680143069_3.webp,5-促销/免费配送信息,KEEP,
1680466118_1680466118_5.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65wamings.caugoy']
1680857890_1680857890_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.kooksheaders.com']
1684583541_1684583541_2.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['724-452-4343']
168652051_168652051_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168657532_168657532_3.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168657532_168657532_4.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168711437_168711437_4.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.dormanproducts.coin']
168712066_168712066_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['http://gettag.mobi']
168720232_168720232_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168720232_168720232_1.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168720232_168720232_4.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168722059_168722059_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168771123_168771123_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168787268_168787268_2.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168794641_168794641_2.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
168794641_168794641_3.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
168795044_168795044_2.webp,1-包含中文内容,KEEP,
168797096_168797096_3.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
168798104_168798104_3.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
168804774_168804774_4.webp,3-包含联系方式,KEEP,
168805752_168805752_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168805752_168805752_1.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168809096_168809096_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168809096_168809096_1.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168809096_168809096_3.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168810651_168810651_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168810845_168810845_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168833524_168833524_1.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['013-997-7192']
168834283_168834283_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168834283_168834283_2.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168839261_168839261_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.dormaaprobucts.com45']; 疑似联系方式(弱信号): ['1-800-336-3575', '80"
168850269_168850269_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.redi-sensor.com', '.redi-sensor.com']"
168850269_168850269_2.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.redi-sensor.com', '.redi-sensor.com']"
168854863_168854863_2.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168854863_168854863_3.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168864557_168864557_0.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168864557_168864557_1.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168864557_168864557_4.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168866319_168866319_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.skf.com']
168867757_168867757_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov', 'www.dormanproducts.con']"
168880927_168880927_5.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168890019_168890019_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
168906295_168906295_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
168906469_168906469_4.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168909246_168909246_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['moogparts.com']
168909246_168909246_5.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['moogparts.com']
168916816_168916816_3.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.flowmastermufflers.com', '.flowmastermufflers.com']"
168917229_168917229_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
168917229_168917229_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['800-632-3290']
168922826_168922826_1.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168922826_168922826_2.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
168927548_168927548_3.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
168929240_168929240_1.webp,5-促销/免费配送信息,KEEP,
168929240_168929240_2.webp,5-促销/免费配送信息,KEEP,
168937199_168937199_0.webp,4-无效图片(空白/纯色),KEEP,
168941402_168941402_3.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-866-933-2911', '866-933-2911']"
168975024_168975024_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['walkerproducts.com']
168992032_168992032_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.amazonaws.com']
168992032_168992032_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.amazonaws.com']
168993239_168993239_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['motorcraft.com']
168994411_168994411_2.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
168994411_168994411_4.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
169000832_169000832_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['walkerproducts.com', 'countryoforigin.us']"
169007754_169007754_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
169038118_169038118_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['ducts.com']
169038756_169038756_2.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
169038756_169038756_4.webp,3-包含联系方式,REVIEW,"疑似联系方式(弱信号): ['1-877-448-1057', '877-448-1057']"
169044016_169044016_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
169055833_169055833_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65warnings.ca.gov']
169056276_169056276_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['http://www.p65warnings.ca.gov/']
169062488_169062488_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['www.p65wamings.ca.gov']
169063569_169063569_3.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.gelighting.com', '.gelighting.com']"
169089054_169089054_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.kemparts.com', '.kemparts.com']"
169094217_169094217_1.webp,5-促销/免费配送信息,KEEP,
169104493_169104493_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.bargman.com', '.bargman.com']"
169104493_169104493_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['877-298-0551']
169118097_169118097_2.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
1691295004_1691295004_0.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.bputah.com', '.bputah.com']"
1691295004_1691295004_2.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.bpufah.com', '.bpufah.com']"
169132580_169132580_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
169135050_169135050_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.walkerproducts.com', '.walkerproducts.com']"
169141374_169141374_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']"
169141374_169141374_3.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.towready.com', '.towready.com']; 疑似联系方式(弱信号): ['800-632-329"
169143986_169143986_2.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.timken.com', '.timken.com']"
169143986_169143986_3.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['.timken.com']
169144765_169144765_3.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['13602276000']
169163584_169163584_2.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['motorcraft.com']
169204419_169204419_1.webp,2-包含网址信息,REVIEW,疑似产品/厂家网址，待确认: ['motarcraft.com']
169215125_169215125_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.dormanproducts.com', '.dormanproducts.com']"
169219408_169219408_2.webp,3-包含联系方式,REVIEW,疑似联系方式(弱信号): ['600-311-3620']
169228119_169228119_1.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.globaldenso.com', '.globaldenso.com', 'www.densoaftermarket"
169234178_169234178_2.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
169234178_169234178_5.webp,9-水印图片,REVIEW,疑似水印(弱信号): ['copyright']
169255769_169255769_4.webp,2-包含网址信息,REVIEW,"疑似产品/厂家网址，待确认: ['www.wixtliters.com', '.wixtliters.com']"
